RecordID,SubscriberID,SubscriberRole,EventTimestamp,Direction,EventType,CallingNumber,CalledNumber,DurationSec,SMSLength,IMEI,IMSI,CellTowerID,TowerName,Latitude,Longitude,Country
YYV9BXCUWH,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-06-24 10:51:50,MO,VOICE,+13108123528,+12137093109,304,,185573409882518,904455028833790,US101,Nogales AZ East,31.3401,-110.9346,US
UN8FRNLKOM,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-01-05 16:51:08,MO,VOICE,+13108123528,+12137093109,332,,747329775475414,951389654650311,US202,San Diego Border Zone,32.5421,-117.0318,US
LYTIUDHCNX,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-01-07 20:18:28,MO,VOICE,+13108123528,+12137093109,588,,551354327314747,441443379696563,US102,Tucson Central,32.2226,-110.9747,US
BPTMBPVKES,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-05-10 07:36:58,MO,VOICE,+13108123528,+12137093109,478,,253290010068168,850625115385171,US102,Tucson Central,32.2226,-110.9747,US
KXZIWMY5Y6,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-03-26 19:53:05,MO,SMS,+13108123528,+12137093109,,106,345907661564216,291042834293485,US102,Tucson Central,32.2226,-110.9747,US
NMD9950KJT,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-03-05 21:17:46,MO,SMS,+13108123528,+12137093109,,63,140937812634906,404817477882097,US102,Tucson Central,32.2226,-110.9747,US
B3SBLQFBN9,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-02-23 12:07:54,MO,VOICE,+13108123528,+12137093109,404,,958102415233578,125788044347715,US103,Tucson South,32.181,-110.965,US
M60AV9LKLT,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-01-20 04:35:19,MO,VOICE,+13108123528,+12137093109,109,,117900215376138,978392192689363,US101,Nogales AZ East,31.3401,-110.9346,US
0IOCZLE7F6,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-05-15 13:27:32,MO,SMS,+13108123528,+12137093109,,67,612679041942404,865104705916115,US202,San Diego Border Zone,32.5421,-117.0318,US
44P0GS5NWY,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-03-25 01:42:32,MO,VOICE,+13108123528,+12137093109,237,,888702458198178,558863458379719,US202,San Diego Border Zone,32.5421,-117.0318,US
L9X2DPTXGB,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-03-09 06:31:42,MO,VOICE,+13108123528,+12137093109,552,,635324867508071,501136802390226,US201,San Diego East,32.7157,-117.1611,US
ZJ4KCGCSHC,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-05-23 06:28:44,MO,SMS,+13108123528,+12137093109,,66,332088001503668,639168840296570,US105,Phoenix West,33.448,-112.103,US
UIA1MRTNIY,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-03-29 13:13:55,MO,VOICE,+13108123528,+12137093109,382,,640255516343629,805322682453796,US203,Los Angeles Downtown,34.0522,-118.2437,US
T24MUPE6KU,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-02-14 01:58:20,MO,VOICE,+13108123528,+12137093109,455,,549437733048042,122147536664761,US204,LA South Bay,33.9019,-118.4173,US
CH23MWH84H,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-03-04 08:05:04,MO,VOICE,+13108123528,+12137093109,511,,967613929277962,558366452217007,US201,San Diego East,32.7157,-117.1611,US
XX4IBW4C4C,PICKUP_DRIVER001,US_PICKUP_DRIVER,2026-02-17 09:52:21,MO,VOICE,+13108123528,+12137093109,504,,498521335755666,528496463198900,US203,Los Angeles Downtown,34.0522,-118.2437,US
